product_id,title,category,price,vendor_id,image_url,created_at,_injected_defect_label,defect_type
P000000,Ergonomic multimedia knowledgebase,Beauty,60.11,vendor_5,https://placekittens.com/787/887,2026-06-16,clean,clean
P000001,PROGRESSIVE FULL-RANGE DATA-WAREHOUSE,Home & Kitchen,369.55,vendor_9,https://picsum.photos/49/30,2025-10-18,duplicate_title_case,clean
P000002,Total radical support,Electronics,19.75,vendor_4,https://placekittens.com/704/949,2025-07-17,clean,clean
P000003,Organized non-volatile flexibility,Toys,18.14,vendor_4,https://dummyimage.com/792x737,2026-01-11,clean,clean
P000004,Integrated local workforce,Beauty,274.75,vendor_4,https://dummyimage.com/322x840,2026-02-20,clean,clean
P000005,Integrated background approach,Sports,405.67,vendor_1,https://dummyimage.com/363x596,2026-07-06,clean,clean
P000006,Extended zero-defect data-warehouse,Home & Kitchen,350.58,vendor_6,https://picsum.photos/314/991,2026-01-26,clean,clean
P000007,CLONED USER-FACING MIDDLEWARE,Home & Kitchen,478.82,vendor_6,https://placekittens.com/107/794,2026-06-26,duplicate_title_case,clean
P000008,Persistent multimedia circuit,Electronics,182.69,vendor_6,https://dummyimage.com/411x382,2025-10-03,clean,clean
P000009,CONFIGURABLE 24HOUR TIME-FRAME,Electronics,366.22,vendor_9,https://picsum.photos/767/303,2025-11-04,duplicate_title_case,clean
P000010,Polarized executive Internet solution,Electronics,278.26,vendor_10,https://dummyimage.com/1015x182,2025-08-31,clean,clean
P000011,Persevering incremental collaboration,Sports,-290.79,vendor_2,https://placekittens.com/444/978,2026-02-25,negative_price,negative_price
P000012,Progressive radical installation,Sports,492.68,vendor_4,https://picsum.photos/49/302,2026-05-17,clean,clean
P000013,Self-enabling fault-tolerant monitoring,Books,142.6,vendor_6,https://picsum.photos/65/449,2026-05-15,clean,clean
P000014,Profit-focused actuating leverage,Sports,108.71,vendor_5,https://dummyimage.com/730x446,2026-04-22,clean,clean
P000015,Pre-emptive clear-thinking access,Beauty,325.78,vendor_10,https://placekittens.com/406/729,2026-05-07,clean,clean
P000016,Stand-alone systemic contingency,Toys,365.92,vendor_3,https://picsum.photos/493/923,2026-06-08,clean,clean
P000017,Function-based high-level capacity,Sports,494.81,vendor_9,https://picsum.photos/373/454,2025-11-11,clean,clean
P000018,Reactive empowering matrices,Sports,422.21,vendor_1,https://picsum.photos/995/860,2026-01-13,clean,clean
P000019,Stand-alone systematic Internet solution,Electronics,403.5,vendor_7,https://placekittens.com/487/973,2026-01-26,clean,clean
P000020,Phased multi-state installation,Home & Kitchen,457.0,vendor_10,https://dummyimage.com/414x774,2025-12-28,clean,clean
P000021,Enhanced intermediate migration,Sports,110.25,vendor_8,https://placekittens.com/465/710,2026-02-13,clean,clean
P000022,,Beauty,232.13,vendor_5,https://placekittens.com/793/218,2026-04-01,missing_title,missing_title
P000023,Reduced tertiary intranet,Toys,271.79,vendor_10,https://picsum.photos/165/835,2026-01-04,clean,clean
P000024,Organic zero-defect definition,Toys,202.7,vendor_4,https://dummyimage.com/390x26,2025-09-05,clean,clean
P000025,Virtual maximized approach,Home & Kitchen,257.22,vendor_2,https://dummyimage.com/425x828,2025-08-09,clean,clean
P000026,Seamless fault-tolerant methodology,Electronics,80.66,vendor_3,https://dummyimage.com/761x60,2025-11-18,clean,clean
P000027,Enhanced executive solution,Books,300.22,vendor_7,https://picsum.photos/565/648,2026-01-27,clean,clean
P000028,Secured mobile Local Area Network,Books,266.91,vendor_9,https://picsum.photos/255/750,2026-05-19,clean,clean
P000029,Down-sized modular model,Electronics,341.74,vendor_2,https://picsum.photos/926/795,2026-04-24,clean,clean
P000030,HORIZONTAL INTANGIBLE TOOLSET,Toys,376.68,vendor_6,https://dummyimage.com/762x857,2026-02-11,duplicate_title_case,clean
P000031,Progressive directional Graphical User Interface,Home & Kitchen,229.59,vendor_5,https://placekittens.com/511/313,2026-06-09,clean,clean
P000032,User-centric cohesive standardization,Home & Kitchen,256.3,vendor_2,https://dummyimage.com/412x877,2025-12-03,clean,clean
P000033,Up-sized foreground capacity,Sports,421.63,vendor_9,https://dummyimage.com/1006x625,2025-10-01,clean,clean
P000034,Compatible attitude-oriented instruction set,Home & Kitchen,190.09,vendor_3,https://dummyimage.com/821x165,2025-10-24,clean,clean
P000035,Cloned upward-trending initiative,Toys,459.65,vendor_10,https://picsum.photos/550/619,2026-07-12,clean,clean
P000036,Adaptive neutral benchmark,Electronics,60.37,vendor_6,https://placekittens.com/293/667,2026-06-27,clean,clean
P000037,Ameliorated exuding paradigm,Sports,123.53,vendor_4,https://dummyimage.com/42x496,2025-10-19,clean,clean
P000038,Universal content-based success,Electronics,47.4,vendor_8,https://dummyimage.com/235x509,2026-06-02,clean,clean
P000039,Persevering user-facing benchmark,Toys,384.09,vendor_3,https://placekittens.com/40/299,2025-07-13,clean,clean
P000040,Organized static product,Toys,86.74,vendor_9,https://placekittens.com/566/942,2026-03-02,clean,clean
P000041,Progressive 6thgeneration hierarchy,Books,482.36,vendor_9,https://dummyimage.com/1020x658,2026-06-26,clean,clean
P000042,Seamless methodical interface,Beauty,104.57,vendor_5,https://picsum.photos/924/376,2025-10-30,clean,clean
P000043,Integrated 24hour info-mediaries,Beauty,326.69,vendor_8,https://placekittens.com/437/217,2025-08-22,clean,clean
P000044,Business-focused mobile analyzer,Books,,vendor_4,https://placekittens.com/156/628,2025-10-28,missing_price,missing_price
P000045,Object-based interactive analyzer,Toys,279.19,vendor_10,https://picsum.photos/737/23,2025-11-19,clean,clean
P000046,Optional cohesive contingency,Electronics,355.38,vendor_1,https://picsum.photos/526/389,2025-11-12,clean,clean
P000047,Inverse foreground hub,Electronics,430.52,vendor_2,https://placekittens.com/628/745,2026-01-10,clean,clean
P000048,Future-proofed background array,Sports,336.14,vendor_4,https://picsum.photos/735/635,2025-07-26,clean,clean
P000049,Seamless empowering complexity,Beauty,468.08,vendor_10,https://placekittens.com/524/595,2025-08-22,clean,clean
P000050,Multi-channeled discrete hub,Home & Kitchen,393.39,vendor_7,https://picsum.photos/245/338,2026-03-12,clean,clean
P000051,Business-focused radical knowledgebase,Electronics,331.2,vendor_6,https://dummyimage.com/559x38,2026-01-05,clean,clean
P000052,Seamless actuating solution,Books,432.6,vendor_1,https://dummyimage.com/225x602,2026-01-22,clean,clean
P000053,Upgradable analyzing core,Beauty,53.72,vendor_7,https://placekittens.com/188/872,2026-06-24,clean,clean
P000054,Customizable cohesive knowledge user,Electronics,128.08,vendor_4,https://placekittens.com/748/199,2026-05-05,clean,clean
P000055,Re-contextualized zero-defect initiative,Home & Kitchen,213.83,vendor_5,https://placekittens.com/856/44,2026-06-13,clean,clean
P000056,,Electronics,224.35,vendor_9,https://dummyimage.com/456x981,2026-06-19,missing_title,missing_title
P000057,Universal coherent ability,Toys,418.83,vendor_2,https://dummyimage.com/975x934,2025-09-14,clean,clean
P000058,Extended intangible open architecture,Home & Kitchen,87.32,vendor_8,https://picsum.photos/162/239,2025-08-17,clean,clean
P000059,Grass-roots optimizing application,Books,451.71,vendor_3,https://dummyimage.com/770x352,2025-12-26,clean,clean
P000060,Innovative optimizing protocol,Books,136.28,vendor_8,https://placekittens.com/287/12,2025-08-19,clean,clean
P000061,Innovative bandwidth-monitored utilization,Beauty,478.87,vendor_9,https://dummyimage.com/577x89,2025-08-26,clean,clean
P000062,Sharable client-server initiative,Books,81.62,vendor_5,https://placekittens.com/393/423,2025-08-03,clean,clean
P000063,Digitized 3rdgeneration encryption,,291.69,vendor_9,https://picsum.photos/9/477,2026-02-24,missing_category,missing_category
P000064,Pre-emptive explicit time-frame,Electronics,29.82,vendor_8,https://picsum.photos/173/231,2026-06-20,clean,clean
P000065,Open-architected value-added Graphic Interface,Toys,-82.93,vendor_9,https://placekittens.com/966/666,2026-01-07,negative_price,negative_price
P000066,Reduced homogeneous solution,Electronics,299.54,vendor_4,https://placekittens.com/363/835,2026-06-08,clean,clean
