product_id,field,original,corrected
P000011,price,-290.79,290.79
P000063,category,,Uncategorized
P000065,price,-82.93,82.93
P000084,category,,Uncategorized
P000085,category,,Uncategorized
P000143,category,,Uncategorized
P000214,category,,Uncategorized
P000259,category,,Uncategorized
P000278,category,,Uncategorized
P000282,price,-474.76,474.76
P000283,category,,Uncategorized
P000317,price,-461.16,461.16
P000327,price,-114.16,114.16
P000369,category,,Uncategorized
P000381,price,-426.33,426.33
P000387,category,,Uncategorized
P000391,category,,Uncategorized
P000395,category,,Uncategorized
P000405,price,-36.23,36.23
P000414,category,,Uncategorized
P000426,category,,Uncategorized
P000437,category,,Uncategorized
P000444,category,,Uncategorized
P000464,category,,Uncategorized
P000466,category,,Uncategorized
P000512,category,,Uncategorized
P000544,category,,Uncategorized
P000615,category,,Uncategorized
P000621,category,,Uncategorized
P000628,category,,Uncategorized
P000635,category,,Uncategorized
P000722,category,,Uncategorized
P000773,price,-357.27,357.27
P000806,category,,Uncategorized
P000813,price,-474.04,474.04
P000871,category,,Uncategorized
P000922,category,,Uncategorized
P000956,price,-52.02,52.02
P000976,price,-124.24,124.24
